start,end,day_count
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,62004
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,43454
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,42626
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,34080
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,28536
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,36608
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,28512
2022-01-09T00:00:00.000Z,2022-01-10T00:00:00.000Z,1057
2022-01-10T00:00:00.000Z,2022-01-11T00:00:00.000Z,2405
2022-01-11T00:00:00.000Z,2022-01-12T00:00:00.000Z,2527
2022-01-12T00:00:00.000Z,2022-01-13T00:00:00.000Z,1532
2022-01-13T00:00:00.000Z,2022-01-14T00:00:00.000Z,1566
2022-01-14T00:00:00.000Z,2022-01-15T00:00:00.000Z,1765
2022-01-15T00:00:00.000Z,2022-01-16T00:00:00.000Z,2314
2022-01-16T00:00:00.000Z,2022-01-17T00:00:00.000Z,1769
2022-01-17T00:00:00.000Z,2022-01-18T00:00:00.000Z,1485
2022-01-18T00:00:00.000Z,2022-01-19T00:00:00.000Z,3705
2022-01-19T00:00:00.000Z,2022-01-20T00:00:00.000Z,2972
2022-01-20T00:00:00.000Z,2022-01-21T00:00:00.000Z,1489
2022-01-21T00:00:00.000Z,2022-01-22T00:00:00.000Z,1514
2022-01-22T00:00:00.000Z,2022-01-23T00:00:00.000Z,1407
2022-01-23T00:00:00.000Z,2022-01-24T00:00:00.000Z,1521
2022-01-24T00:00:00.000Z,2022-01-25T00:00:00.000Z,2887
2022-01-25T00:00:00.000Z,2022-01-26T00:00:00.000Z,2256
2022-01-26T00:00:00.000Z,2022-01-27T00:00:00.000Z,1704
2022-01-27T00:00:00.000Z,2022-01-28T00:00:00.000Z,1710
2022-01-28T00:00:00.000Z,2022-01-29T00:00:00.000Z,2040
2022-01-29T00:00:00.000Z,2022-01-30T00:00:00.000Z,1216
2022-01-30T00:00:00.000Z,2022-01-31T00:00:00.000Z,5362
2022-01-31T00:00:00.000Z,2022-02-01T00:00:00.000Z,3315
2022-02-01T00:00:00.000Z,2022-02-02T00:00:00.000Z,4124
2022-02-02T00:00:00.000Z,2022-02-03T00:00:00.000Z,3301
2022-02-03T00:00:00.000Z,2022-02-04T00:00:00.000Z,4907
2022-02-04T00:00:00.000Z,2022-02-05T00:00:00.000Z,2136
2022-02-05T00:00:00.000Z,2022-02-06T00:00:00.000Z,1378
2022-02-06T00:00:00.000Z,2022-02-07T00:00:00.000Z,2296
2022-02-07T00:00:00.000Z,2022-02-08T00:00:00.000Z,4567
2022-02-08T00:00:00.000Z,2022-02-09T00:00:00.000Z,4199
2021-12-09T00:00:00.000Z,2021-12-10T00:00:00.000Z,3968
2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,2612
2021-12-11T00:00:00.000Z,2021-12-12T00:00:00.000Z,2361
2021-12-12T00:00:00.000Z,2021-12-13T00:00:00.000Z,1883
2021-12-13T00:00:00.000Z,2021-12-14T00:00:00.000Z,1904
2021-12-14T00:00:00.000Z,2021-12-15T00:00:00.000Z,2835
2021-12-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,2139
2021-12-16T00:00:00.000Z,2021-12-17T00:00:00.000Z,2715
2021-12-17T00:00:00.000Z,2021-12-18T00:00:00.000Z,2988
2021-12-18T00:00:00.000Z,2021-12-19T00:00:00.000Z,2713
2021-12-19T00:00:00.000Z,2021-12-20T00:00:00.000Z,1505
2021-12-20T00:00:00.000Z,2021-12-21T00:00:00.000Z,1476
2021-12-21T00:00:00.000Z,2021-12-22T00:00:00.000Z,1488
2021-12-22T00:00:00.000Z,2021-12-23T00:00:00.000Z,3018
2021-12-23T00:00:00.000Z,2021-12-24T00:00:00.000Z,2634
2021-12-24T00:00:00.000Z,2021-12-25T00:00:00.000Z,2142
2021-12-25T00:00:00.000Z,2021-12-26T00:00:00.000Z,1496
2021-12-26T00:00:00.000Z,2021-12-27T00:00:00.000Z,1607
2021-12-27T00:00:00.000Z,2021-12-28T00:00:00.000Z,1281
